# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
objective_HelpSecurityOptions_Description	Sarà possibile trovare un elenco di "detenuti importanti" in un nuovo menu, che conterrà tutti i detenuti considerati in pericolo o pericolosi per sé o per gli altri. Con questo menu puoi contrassegnare i detenuti che richiedono attenzione extra in modo che vengano controllati più facilmente durante il gioco normale, o eseguire altre misure, come limitare l'accesso di un detenuto a una determinata zona, trasferire gruppi a livelli di sicurezza speciali e perfino rimuovere i detenuti problematici mandandoli a un'altra struttura, anche se questo richiederà il pagamento di una multa salata.
objective_HelpPrograms_Description	Per aiutare a proteggere e sostenere i tuoi detenuti, le guardie possono ora ricevere un nuovo addestramento grazie al quale riusciranno a disarmare facilmente i detenuti. I detenuti avranno a disposizione anche nuove attività, con corsi ricreativi per aiutarli a riabilitarsi e tentare di calmarli o permettere loro di alleviare lo stress, e corsi di riabilitazione che aiuteranno i detenuti ad allontanarsi dalla vita delle gang e permetteranno loro di scontare la pena in modo più pacifico e costruttivo.
objective_grant_positiveEnergyGrant	Energia positiva
objective_grant_positiveEnergyGrant_Description	I membri delle gang devono concentrare la loro mente (e la loro energia) sull'esercizio fisico piuttosto che sulla violenza. Secondo le ricerche, allenarsi riduce la cattiva condotta. Posiziona degli attrezzi da ginnastica nel cortile.
objective_grant_positiveEnergyGrant_bench	Aggiungi una panca piana
objective_grant_advancedProtectionGrant	Protezione avanzata
objective_grant_advancedProtectionGrant_Description	La protezione dello staff è fondamentale quando si parla di gang organizzate. Facciamo in modo che lo staff sia addestrato al massimo livello per la loro sicurezza.
objective_grant_advancedProtectionGrant_training	Addestra 20 guardie nella certificazione di disarmo.
objective_grant_gangWelfareGrant	Benessere gang
objective_grant_gangWelfareGrant_Description	Trasformare una Guerra tra gang in Benessere gang è una priorità assoluta. I membri delle gang hanno buone probabilità di riabilitarsi quando vengono inseriti in corsi che possono aiutarli ad abbandonare quella vita.
objective_grant_gangWelfareGrant_exGangMembers	Riabilita 15 membri di gang e trasformali in ex membri di gang.
objective_grant_exGangProtectionGrant	Corso di protezione per ex membri di gang
objective_grant_exGangProtectionGrant_Description	Il governo offre un finanziamento per costruire un'ala di custodia cautelare per proteggere gli ex membri delle gang sulla strada della riabilitazione.
objective_grant_protectionCells	Costruisci 10 celle in un settore Solo sotto protezione
objective_grant_protectionShower	Costruisci un locale docce in un settore Solo sotto protezione
objective_grant_protectionCanteen	Costruisci una mensa in un settore Solo sotto protezione
objective_grant_protectionKitchen	Costruisci una cucina in un settore Solo sotto protezione
objective_grant_protectionYard	Costruisci un cortile in un settore Solo sotto protezione
objective_grant_protectionGuards	Assegna 1 guardia a un settore Solo sotto protezione
objective_grant_protectionExGang	Assegna 1 ex membro di gang al livello di sicurezza Custodia cautelare
grant_category_adminHired	Amministratore assunto:
reformprogram_TattooRemovalProgram	Corso di rimozione tatuaggi
reformprogram_TattooRemovalProgram_text	Se i tuoi detenuti si sono pentiti dei loro tatuaggi da gang, puoi aiutarli a riabilitarsi offrendo loro una sessione di rimozione tatuaggi. Completando questo corso i detenuti diventeranno dei bersagli.
reformprogram_HandToHandCombat	Certificazione di disarmo
reformprogram_HandToHandCombat_text	Quando il gioco si fa duro, noi iniziamo a giocare. Addestra le guardie alle tecniche di disarmo avanzate.
reformprogram_GangRehabilitation	Riabilitazione gang
reformprogram_GangRehabilitation_text	Se il membro di una gang causa troppi problemi in prigione, cerca di fare in modo che completi questo corso. È il primo passo per tagliare i legami con la gang e voltare pagina. Completando questo corso i detenuti diventeranno dei bersagli. Tipo di problema: violenza e distruzione.
reform_program_intake_ReferralGangViolenceDestruction	Problema: violenza e distruzione Solo gang.
reform_program_intake_GangOnly	Solo gang
reformprogram_FaithProgram	Corso di fiducia
reformprogram_FaithProgram_text	I detenuti che partecipano a questo corso intensivo avranno più probabilità di rinunciare al loro cattivo stile di vita e accogliere una vita migliore. Se completano il corso potrebbero desiderare di tagliare i rapporti con la gang.
reformprogram_BreatheProgram	Terapia del respiro
reformprogram_BreatheProgram_text	Insegna ai detenuti come respirare e rilassarsi. Dopo le lezioni, i detenuti saranno molto più calmi e potrebbero valutare se comportarsi meglio.
reformprogram_FightClub	Fight Club
reformprogram_FightClub_text	Queste sessioni di allenamento puntano a incanalare l'aggressività e l'energia distruttiva dei detenuti facendoli combattere in un ambiente controllato. Dopo potrebbero essere troppo stanchi per litigare. Ehi, qual era la prima regola?
reform_program_properties_TeacherUsesSameEquipment	L'insegnante richiede 1 *X
reform_program_properties_GangMemberCanAttend	I membri delle gang possono partecipare
gang_vipers	Le Vipere
gang_bonebreakers	Gli Spezza Ossa
gang_jackals	Gli Sciacalli
gang_red	Rosso
gang_blue	Blu
gang_yellow	Ex membri di gang
objective_GangDemand	Richieste della gang
objective_GangDemand_description	I leader delle bande più audaci faranno una serie di richieste per migliorare la qualità della vita in prigione. Non rispettare queste richieste può portare a una rivolta. Se dovesse succedere, fai in modo che la prigione sia preparata.
GangDemand_announcement	I membri delle gang causeranno molti problemi se non cediamo alle loro richieste.
objective_Gang_ContrabandToolsPunishment_child	*G - Diminuisci la punizione per il ritrovamento di attrezzi a *X ore
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G - Diminuisci la punizione per il ritrovamento di attrezzi a Nessuna
objective_Gang_MurderPunishment_child	*G - Riduci la punizione per omicidio a *X ore.
objective_Gang_MurderPunishment_Escalated_child	*G - Riduci la punizione per omicidio a *X ore.
objective_Gang_MoreYardTime_child	*G - Aumenta le sessioni di tempo in cortile a *X ore.
objective_Gang_MoreYardTime_Escalated_child	*G - Aumenta le sessioni di tempo in cortile a *X ore.
objective_Gang_PullUpBars_child	*G - Disponi di *X barre di trazione.
objective_Gang_PullUpBars_Escalated_child	*G - Disponi di *X barre di trazione.
objective_Gang_TyreApparatus_child	*G - Disponi di *X attrezzi con gomme.
objective_Gang_TyreApparatus_Escalated_child	*G - Disponi di *X attrezzi con gomme.
objective_Gang_PunchBag_child	*G - Disponi di *X sacchi da boxe.
objective_Gang_PunchBag_Escalated_child	*G - Disponi di *X sacchi da boxe.
objective_Gang_PushUpStones_child	*G - Disponi di *X pietre per piegamenti.
objective_Gang_PushUpStones_Escalated_child	*G - Disponi di *X pietre per piegamenti.
objective_Gang_RequireYard_child	*G - Disponi di 1 *X.
objective_Gang_RequireYard_Escalated_child	*G - Disponi di 1 *X.
objective_Gang_RequireLibrary_child	*G - Disponi di 1 *X.
objective_Gang_RequireLibrary_Escalated_child	*G - Disponi di 1 *X.
objective_Gang_RequireMailRoom_child	*G - Disponi di 1 *X.
objective_Gang_RequireMailRoom_Escalated_child	*G - Disponi di 1 *X.
d11_gangdemand_success	Abbiamo ricevuto del denaro per aver affrontato la situazione.
d11_gangdemand_fail	Fai in modo che questa situazione non si ripeta.
d11_gangCompensation	Compenso gang
d11_gang_goal	Obiettivo gang:
d11_gang_jackals_goal	Controllo della prigione
d11_gang_traits	Caratteristiche gang:
d11_gang_officer	Agenti gang:
d11_gang_territories	Territori:
d11_gang_kills	Uccisioni gang:
d11_heatmap_gang	Gang coinvolta:
d11_heatmap_day	Avvenuto il giorno:
d11_heatmap_time	Avvenuto il giorno:
d11_gang_event_pr.gf	Lotta tra gang
d11_gang_event_g.tc	Cambio di territorio
gangSegregationMessage	Scegli quali gang hanno accesso a determinate aree.
interfacedeployment_GangSegregation	Segregazione gang
buildtoolbar_deployment_GangSegregation	Per garantire un certo livello di controllo sulla distribuzione delle gang, è possibile assegnarle a spazi abitativi diversi, in modo che siano lontane l'una dall'altra, per evitare provocazioni non necessarie.
research_StaffVetting	Controllo del personale
researchtooltip_StaffVetting	Riduce la probabilità di corruzione di nuove guardie. Sblocca le Indagini guardia consentendoti di scovare le guardie corrotte usando gli informatori.
buildtoolbar_GuardInvestigation	Indagini guardia
buildtoolbar_tooltip_GuardInvestigation	Collabora con i tuoi informatori e con il capo della sicurezza per indagare sulle tue guardie e scoprire la corruzione. Più copertura hanno i tuoi informatori attivi, più guardie corrotte smaschererai. Il capo non deve condurre un corso o assistere a un'esecuzione.
buildtoolbar_CI_requirement	Almeno un informatore
guardinvestigation_underway	INDAGINI GUARDIA IN CORSO
guardinvestigation_investigated	Hai indagato su *A/*B guardie
informant_investigating	Indagini
crookedguard_fired_reward	Guardia corrotta licenziata
crookedguard_advisor_onboarding	Abbiamo scoperto una guardia corrotta che collabora con una gang. L'abbiamo evidenziata nella scheda Staff nei tuoi Resoconti. Licenziala!
buildtoolbar_popup_staff_doghandler	Le guardie cinofile e i loro compagni canini possono rilevare le merci di contrabbando sui detenuti che passano nelle immediate vicinanze.
buildtoolbar_popup_staff_kimber_doghandler	Le guardie cinofile e i loro compagni canini possono rilevare le merci di contrabbando sui detenuti e sulle guardie corrotte che passano nelle immediate vicinanze.
d11_prisoner_replacement	Sostituzione del detenuto
d11_prisoner_replacement_tooltip	Il valore della popolazione detenuta sarà reintegrato fino a raggiungere numero desiderato. Ove possibile, il rapporto tra i livelli di sicurezza rimarrà invariato. Qualsiasi eccedenza di detenuti verrà richiesta seguendo il sistema standard
job_cleanupobject	Pulizia *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X MEMBRI DI GANG SONO FURIOSI (graffiti rimossi)
interfacetopbar_tension_angrygangmembersleadercell	+ *X MEMBRI DI GANG SONO FURIOSI (leader trasferito a una cella di qualità inferiore)
research_CCTVImprovement	Miglioramento CCTV
researchtooltip_CCTVImprovement	Migliora l'utilizzo delle tue telecamere a circuito chiuso. Ti consente di scoprire eventuali casi di cattiva condotta nel campo visivo delle telecamere.
d11_cctv_cone	Campo visivo CCTV
d11_toggle_cctv_cone_detail	Attiva/Disattiva campo visivo telecamere
d11_left_click_to_clean	Clic sinistro del mouse per pulire
d11_gang_graffiti_message	Le gang marcano il loro territorio e diventano più aggressive quando lo difendono. Quando la situazione è sicura, manda un inserviente a occuparsene. Le gang non saranno contente che la loro "arte" venga rimossa: potrebbero vendicarsi.
d11_gangBulkIntake_advisor_onboarding	La commissione sta trasferendo i detenuti problematici ad altre prigioni con una gestione più competente. Confido nel fatto che riuscirai a occuparti al meglio di questi nuovi arrivi. Le valutazioni dei detenuti vengono ora condotte su base settimanale.
d11_gangBulkIntake_staffAlert	Il bus per l'ingresso dei membri delle gang è in arrivo
d11_gangdealer_advisor_onboarding	Abbiamo identificato un trafficante nel territorio di una gang. Abbiamo confiscato una grande somma di denaro.
d11_CI_advisor_onboarding	Collabora con i tuoi informatori confidenziali per stanare le guardie corrotte. Gli informatori verranno inviati all'ufficio del Capo per condividere le informazioni in loro possesso. Verifica di aver reclutato gli informatori. Per maggiori informazioni, seleziona l'icona (?) nel menu Intelligence.
d11_LeaderAssassination_advisor_onboarding	Le gang stanno diventando troppo aggressive e progettano di uccidere il leader dell'altra gang. Se dovessero riuscirci, questo influirà sui loro attuali territori.
d11_GangTargetting_advisor_onboarding	I membri delle gang si uniscono tra loro perché hanno interessi simili. A volte disprezzano specifici reati, e cercheranno di prendere di mira chi li ha commessi.
d11_staffalert_title_making_move	Una gang sta macchinando qualcosa.
d11_staffalert_summary_making_move	Abbiamo informazioni che una gang sta macchinando qualcosa.
d11_staffalert_summary_gangdealer	Un trafficante ha scoperto che hai ricevuto 500 $
d11_staffalert_summary_TerritoryPlacement	Questa stanza è stata occupata da una gang ed è troppo pericolosa per il nostro staff. Scaccia la gang dalla stanza.
crisisSector_CustomSearchArea	Area di perquisizione personalizzata
crisisSector_ScheduleSearch	Programma personalizzato
schedulesearch_menu_TargettedArea	Area interessata
schedulesearch_menu_StartTime	Ora di inizio
schedulesearch_menu_ExistingSchedule	Programma esistente
schedulesearch_menu_CurrentTime	Tempo attuale
schedulesearch_menu_CurrentFrequency	Frequenza attuale
crisisSector_UnlockedOnly	Solo sbloccati
schedulesearch_menu_SaveSelection	Salva selezione
reputation_Recruiter	Reclutatore
reputationtooltip_Recruiter	Se questo detenuto fa parte di una gang, è probabile che convinca altri detenuti a unirsi a lui.
reputationtooltip_Resourceful	Questo detenuto sarà più propenso a passare il tempo leggendo. Inoltre saprà dove si trova la merce di contrabbando e potrebbe intercettarla per la propria gang.
reputation_ExGangMember	Ex membro di gang
reputationtooltip_ExGangMember	Questo detenuto ha deciso che la vita da gang non fa per lui, ma la gang non ne è contenta.
reputation_CunninglyBrutal	Astutamente brutale
reputationtooltip_CunninglyBrutal	Le Vipere cercheranno di attaccare i bersagli nei punti ciechi della sicurezza.
reputation_SneakThief	Ladruncolo
reputationtooltip_SneakThief	Tutti gli Sciacalli hanno la capacità di borseggiare a prescindere dalla reputazione.
reputation_BattleTendency	Tendenze combattive
reputationtooltip_BattleTendency	Se in un'ala della prigione gli Sciacalli sono più numerosi delle guardie, saranno più violenti verso lo staff di quell'ala.
reputation_DisrepectSurroundings	Vandalo
reputationtooltip_DisrepectSurroundings	Gli Spezza Ossa danneggeranno gli oggetti se non vengono rispettati i loro bisogni.
