# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
warden_WardenAlexisLin_desc	Acredita que tecnologia é o futuro. Conquistou o respeito dos colegas e o temor dos detentos. \n\n-Taxa de redução de opressão 60% mais lenta. \n-Instigadores não aumentam as chances de detentos próximos causarem problemas. \n-Reduz em 50% a frequência de maus comportamentos de detentos extremamente instáveis.
warden_WardenAlexisLin_desc_short	- Taxa de redução de opressão 60% mais lenta.\n- Instigadores não aumentam as chances de detentos próximos causarem problemas.\n- Reduz em 50% a frequência de maus comportamentos de detentos extremamente instáveis.
prisonerTracking_Title	Menu de rastreamento
interfacecontraband_PrisonerTracking	Menu de rastreamento
buildtoolbar_contraband_PrisonerTracking	Permite que você monitore seus prisioneiros para garantir que estão saudáveis e comportados. Confira a ajuda para mais informações
prisonerTracking_TrackedPrisoners	Detentos rastreados:
prisonerTracking_SubstanceAbuse	Dependência química
prisonerTracking_Virus	Vírus/doença
trackingmenu_ViewRange	Alternar alcance
interface_action_refuseBeltAccess	Remover acesso do cinto
prisonerTracking_PrisonersLists	Todos os detentos\nAlterar o grupo de detentos afunila a lista ainda mais.\n\nRisco de fuga\nEstes prisioneiros estão considerando ou já estão planejando escapar.\n\nMau comportamento\nDetentos que já tenham tido mau comportamento nas últimas 48 horas.\n\nDependência química\nDetentos que tenham se viciado em narcóticos e tenham risco de sofrer overdose.\n\nVírus/doenças\nTodos que tenham contraído alguma condição de saúde negativa e estejam correndo risco, além de potencialmente colocar outros em perigo também.
d11_trackingMenu_locked	Para ser usado, este menu requer: \n - Um médico \n - Um monitor de saúde \n - Uma caixa médica \n - Um monitor de rastreamento e um roteador
buildtoolbar_popup_help_PrisonerTracking_1	O menu de inteligência do rastreamento lista todos os detentos na prisão. Para ser usado, é necessário um médico, uma enfermaria com um monitor de saúde e uma caixa médica, além de uma sala de segurança com um monitor de rastreamento e um roteador.\n
buildtoolbar_popup_help_PrisonerTracking_2	Estas listas podem ser alteradas para quaisquer informações que o jogador queira acessar rapidamente, como todos os detentos, risco de fuga, mau comportamento, dependência química e vírus/outras doenças.\n\n
buildtoolbar_popup_help_PrisonerTracking_3	- Selecione o detento que deseja monitorar e receba notificações se ele for para um setor da prisão que não pode ou se estiver em perigo. Localize-o pelo marcador acima da cabeça.\n\n
buildtoolbar_popup_help_PrisonerTracking_5	- Garanta a segurança da sua prisão. Remover e controlar fontes de contrabando para reduzir as chances de fuga ou de ferir funcionários e outros detentos.\n
buildtoolbar_popup_help_PrisonerTracking_6	- Crie programas e disponibilize médicos suficientes para garantir o bem-estar de detentos com dependência química.\n\n
prisonerTracking_confirm_equip	Enviar detento para a enfermaria para equipar o cinto de rastreamento?
prisonerTracking_confirm_unequip	Enviar detento para a enfermaria para desequipar o cinto de rastreamento?
codex_options_clocktype_undead	Morto-vivo (analógico)
codex_options_clocktype_future	Futuro (analógico)
graph_axis_TotalEscapedUndead	Total de mortos-vivos que escaparam
equipment_stunbaton	Cassetete elétrico
finance_cost_stunbaton	Equipamento: Cassetete elétrico
d11_stun_baton_caption	Equipar cassetetes elétricos
d11_stun_baton_tooltip	Esta opção permite que seus guardas equipem um cassetete elétrico, que proporciona um apoio adicional para contenção de detentos desordeiros. Requer um arsenal e tem um custo de $*X por guarda. Além dos guardas comuns, a tropa de choque vem equipada com esses novos cassetetes sem um custo adicional de serviço.
dlc_name_futureTech	Future Tech Pack
roomgrading_Cell_HasGlassWalls	[*E] com paredes de vidro
roomgrading_Dormitory_HasGlassWalls	[*E] com paredes de vidro
roomgrading_Canteen_HasGlassWalls	[*E] com paredes de vidro
roomgrading_Gymnasium_HasGlassWalls	[*E] com paredes de vidro
roomgrading_CommonRoom_HasGlassWalls	[*E] com paredes de vidro
roomgrading_Classroom_HasGlassWalls	[*E] com paredes de vidro
trackingMenu_unequipPrisoner	Desequipar detento
d11_staffalert_title_ArmouryPlaced	Cassetetes elétricos
d11_staffalert_summary_ArmouryPlaced	Habilite uma política prisional para que os guardas recebam cassetetes elétricos, caso você ache que eles precisem de mais poder de choque.
objective_Grant_TrackerPilot	Programa de teste de rastreamento
objective_Grant_TrackerPilot_description	Uma grande empresa de tecnologia está testando um novo dispositivo de "bem-estar" para os detentos. Eles estão oferecendo um subsídio a quaisquer prisões dispostas a testar o equipamento e compartilhar os dados obtidos.
objective_Grant_Tracker_Infirmary	Construa uma enfermaria
objective_Grant_Tracker_Doctor	Contrate um médico
objective_Grant_Tracker_MedicalBox	Instale uma caixa médica na enfermaria
objective_Grant_Tracker_HealthMonitor	Instale um monitor de saúde na enfermaria
objective_Grant_Tracker_Router	Instale roteadores para aumentar o alcance do rastreamento de prisioneiros
objective_Grant_Tracker_TrackingMonitor	Instale e conecte um monitor de rastreamento na sala de segurança
objective_Grant_Tracker_TrackingBelt	Atribua cintos de rastreamento a três detentos (Inteligência > menu de rastreamento)
objective_Grant_Tracker_SecurityRoom	Construa uma sala de segurança
buildtoolbar_popup_mat_MurkyWater	Crie riachos, rios e outras áreas de água intransitáveis.
buildtoolbar_popup_mat_MurkyWaterLarge	Crie grandes áreas de água, lagos e oceanos.
buildtoolbar_popup_mat_MurkyWaterShallow	Crie áreas de águas rasas para formar litorais mais agradáveis, entre chão de areia e água. Estes blocos podem ser percorridos a pé, ao contrário da água normal.
buildtoolbar_popup_obj_JungleServingTable	Entregue comida para os prisioneiros.
buildtoolbar_popup_obj_bookshelf	"Aprimora o nível de conforto de uma cela e ajuda a suprir a necessidade por 'Recreação' dos seus detentos."
object_KayuMalamTree	Árvore de Kayu Malam
buildtoolbar_popup_obj_KayuMalamTree	Uma grande árvore com uma linda cor escura. Não é apropriada para a construção de camas.
object_EbonyLog	Tora de ébano
object_EbonyWood	Madeira de ébano
object_TreeVines	Árvore (videiras)
buildtoolbar_popup_obj_TreeVines	Esse tipo de árvore é essencial para prisões tropicais.
object_KayuMalamTree	Árvore de Kayu Malam
buildtoolbar_popup_obj_KayuMalamTree	Uma grande árvore com uma linda cor escura. Não é apropriada para a construção de camas.
object_EbonyLog	Tora de ébano
object_EbonyWood	Madeira de ébano
object_TreeVines	Árvore (videiras)
buildtoolbar_popup_obj_TreeVines	Esse tipo de árvore é essencial para prisões tropicais.
object_Toby	Toby
buildtoolbar_popup_obj_Toby	Capturar criminosos é um dos prazeres do nosso solzinho.
object_cinemascreen	Tela de projetor
buildtoolbar_popup_obj_cinemascreen	Uma grande lona branca para exibir filmes. Combine com um projetor para reproduzir filmes para seus prisioneiros.
object_cinemaprojector	Projetor
buildtoolbar_popup_obj_cinemaprojector	Todo cinema precisa de um projetor. Deve ser posicionado dentro de 10 blocos de uma tela de projetor para exibir filmes.
deploymentscheduler_slot_caption	Blocos de tempo de alocação
deploymentscheduler_description	Use os blocos de tempo para criar rotinas de alocação para diferentes horários. Antes de definir alterações à alocação dos funcionários, você deve primeiro mover a seta de tempo ao horário desejado. Após isso, você poderá selecionar um dos blocos de tempo para definir uma rotina de alocação específica para aquele horário. Caso contrário, a alocação será feita para todos os horários.
codex_options_clocktype_jungle	Selva (analógico)
room_visitorreception	Recepção de visitantes
buildtoolbar_popup_room_visitorreception	Uma área para os visitantes se apresentarem e potencialmente serem revistados, de forma a não representarem um perigo à penitenciária, seja através de contrabando ou problemas de saúde.
room_cinema	Cinema
quickbuild_Cinema	Cinema
buildtoolbar_popup_room_Cinema	Luz, câmera, ação! Seus prisioneiros podem desfrutar de clássicos como "Ficando no Inferno", "À Espera de uma Detenção", "É Quarta-feira, Camaradas" e muitos outros.
object_BambooGuardTower	Torre de vigilância (madeira)
buildtoolbar_popup_obj_BambooGuardTower	Uma torre de onde os franco-atiradores (contratados separadamente) podem vigiar a prisão.\n\nProteção limitada contra as intempéries.
material_WeatheredStoneFlooring	Pedra gasta
buildtoolbar_popup_mat_WeatheredStoneFlooring	Um piso de pedra gasto, para tornar seu templo na selva um pouco mais autêntico.
material_ColouredStoneTiles	Lajotas de pedra colorida
buildtoolbar_popup_mat_ColouredStoneTiles	Com uma maestria tão impressionante em sua criação, ninguém jamais saberá que foram feitos recentemente por Clive em Kent.
material_JunglePath	Trajeto de selva
buildtoolbar_popup_mat_JunglePath	Esse trajeto de terra antigo é surpreendentemente confortável aos pés.
material_ConcreteMossFlooring	Concreto (musgo)
buildtoolbar_popup_mat_ConcreteMossFlooring	A natureza tomou conta desse piso de concreto.
material_ConcreteLeavesFlooring	Concreto (folhas)
buildtoolbar_popup_mat_ConcreteLeavesFlooring	A natureza tomou conta desse piso de concreto.
material_RustyFenceConcrete	Cerca enferrujada (concreto)
buildtoolbar_popup_mat_RustyFenceConcrete	Proteja seções com essa cerca enferrujada.
material_RustyFenceGrass	Cerca enferrujada (grama)
buildtoolbar_popup_mat_RustyFenceGrass	Proteja seções com essa cerca enferrujada.
material_RustyFenceLongGrass	Cerca enferrujada (grama alta)
buildtoolbar_popup_mat_RustyFenceLongGrass	Proteja seções com essa cerca enferrujada.
material_MurkyWater	Água escura
material_MurkyWaterLarge	Água escura (grande)
material_MurkyWaterShallow	Água escura (rasa)
object_CctvCamo	CITV (camuflada)
buildtoolbar_popup_uts_CctvCamo	Fique de olho na prisão sem a necessidade de os guardas estarem em todos os lugares. Essa câmera vem com uma camuflagem. \n\nVocê precisa conectar um monitor CITV a esta câmera para funcionar.
object_JungleTable	Mesa de bambu
buildtoolbar_popup_obj_JungleTable	Para comer em cima dela. Combina muito bem com o banco de bambu.
object_JungleBench	Banco de bambu
buildtoolbar_popup_obj_JungleBench	Para sentar. Combina muito bem com a mesa de bambu.
object_JungleServingTable	Mesa de buffet de bambu
object_jaildoorrusty	Porta de barra (enferrujada)
buildtoolbar_popup_obj_jaildoorrusty	A porta de barra enferrujada também serve para separar os prisioneiros, só não é muito chique.
object_jaildoorlargerusty	Porta de barra grande (enferrujada)
buildtoolbar_popup_obj_jaildoorlargerusty	A porta de barra enferrujada grande também serve para separar os prisioneiros, só não é muito chique.
codex_option_tropicalFever	Febre tropical
dlc_name_jungle	Jungle Pack
codex_tooltip_tropicalFever	Embora o clima tropical não agrade a todos, esse não é o único perigo que ele apresenta. Com qualquer coisa ou qualquer pessoa nova na prisão podendo alastrar essa doença, fique de olho nas suas entregas e visitantes.
warden_WardenKarrHide_name	Couro de karr
warden_WardenKarrHide_desc	Um homem experiente que gastou mais tempo dentro nas selvas do que fora delas. Ele se descreve como um caçador de grandes "presas" e possui as habilidades para provar.\n\n- Melhora o alcance de franco-atiradores. \n- Melhora o efeito de "opressão" dos franco-atiradores.
warden_WardenKarrHide_desc_short	- Melhora o alcance de franco-atiradores.\n- Melhora o efeito de "opressão" dos franco-atiradores.
uniformPack_jungle	Uniformes de selva
uniformPack_jungle_desc	Altera os uniformes da equipe e dos detentos para um estilo mais selvagem.
object_FirePit	Fogueira
buildtoolbar_popup_obj_FirePit	Uma estrutura de pedra que produzirá luz sem eletricidade e também afasta os insetos dos seus prisioneiros. Lenha incluída.
object_CampBed	Cama de acampamento
buildtoolbar_popup_obj_CampBed	É mais confortável do que parece (verdade).
object_NettedBed	Cama de acampamento (reticulada)
buildtoolbar_popup_obj_NettedBed	Um item essencial no clima tropical. Concede um pouco de conforto e afasta os insetos.
reformprogram_TropicalFeverTreatmentProgram	Vacina de febre tropical
reformprogram_TropicalFeverTreatmentProgram_text	Um tratamento contínuo com o intuito de combater a notória febre tropical, comum nas selvas e climas tropicais. Os prisioneiros receberão assistência contra a doença durante 21 dias e terão de voltar novamente uma vez após o fim desse período para permanecerem seguros.
object_WoodDrain	Ralo de madeira
buildtoolbar_popup_obj_WoodDrain	Remove água do chão.
job_CheckVisitorFever	Conferir febre no visitante
tropicalfever_contaminated	Febre tropical (contaminado)
tropicalfever_ill	Febre tropical (doente)
tropicalfever_early	Febre tropical (estágio inicial)
tropicalfever_mid	Febre tropical (estágio intermediário)
tropicalfever_late	Febre tropical (estágio final)
tropicalfever_immune	Febre tropical (imunidade temporária)
tropicalfever_Dead	Febre tropical
event_tropicalfever_onboarding_contaminatedobject	Encontramos um item contaminado. Ele deverá ser removido assim que possível. Qualquer item contaminado dessa maneira poderá contagiar prisioneiros desprevenidos que se aproximarem.
event_tropicalfever_onboarding_afflictedprisoner	Alguns dos nossos prisioneiros foram infectados com uma febre perigosa. Precisamos providenciar os devidos cuidados médicos. Criamos um programa de vacinação para protegermos nossos prisioneiros no futuro.
action_WatchCinema	Assistindo a um filme
buildtoolbar_Logistics_Jobs	O modo de exibição Trabalho prisional mostra os cômodos que podem ter detentos designados para trabalhar e quantos detentos estão atualmente designados.
buildtoolbar_Logistics_TargettingLaundry	O modo de exibição Distribuição da Lavanderia mostra quais blocos, dormitórios e recepções destinam-se a quais lavanderias.
buildtoolbar_Logistics_TargettingFood	O modo de exibição Distribuição de comida mostra quais cantinas servem quais blocos, e quais cozinhas abastecem quais cantinas. Você também pode ver a oferta e a demanda atual de suas cozinhas e cantinas ativas (começa-se a cozinhar 4 horas antes da próxima rotina de Alimentação).
