# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
objective_Grant_Tracker_TrackingMonitor	Instala y conecta un monitor de seguimiento en la sala de seguridad
objective_Grant_Tracker_TrackingBelt	Asigna los cinturones de seguimiento a 3 prisioneros en Inteligencia > Menú de seguimiento
objective_Grant_Tracker_SecurityRoom	Construye una Sala de Seguridad
buildtoolbar_popup_mat_MurkyWater	Crea arroyos, ríos y otras zonas de agua infranqueable.
buildtoolbar_popup_mat_MurkyWaterLarge	Crea grandes zonas de agua, lagos y océanos.
buildtoolbar_popup_mat_MurkyWaterShallow	Crea zonas de agua poco profunda para que tus costas queden más bonitas añadiendo suelos de arena y agua. A diferencia del agua normal, por esta se puede pasar.
buildtoolbar_popup_obj_JungleServingTable	Sirve comida a tus prisioneros.
buildtoolbar_popup_obj_bookshelf	"Mejora la confortabilidad de una celda y ayuda a satisfacer la necesidad de entretenimiento de tus reclusos".
object_KayuMalamTree	Árbol kayu malam
buildtoolbar_popup_obj_KayuMalamTree	Un árbol enorme de un bonito color oscuro. No apto para construir una cama.
object_EbonyLog	Tronco de ébano
object_EbonyWood	Madera de ébano
object_TreeVines	Árbol (lianas)
buildtoolbar_popup_obj_TreeVines	Este tipo de árbol es esencial para toda prisión tropical que se precie.
object_KayuMalamTree	Árbol kayu malam
buildtoolbar_popup_obj_KayuMalamTree	Un árbol enorme de un bonito color oscuro. No apto para construir una cama.
object_EbonyLog	Tronco de ébano
object_EbonyWood	Madera de ébano
object_TreeVines	Árbol (lianas)
buildtoolbar_popup_obj_TreeVines	Este tipo de árbol es esencial para toda prisión tropical que se precie.
object_Toby	Toby
buildtoolbar_popup_obj_Toby	Un buen chico al que le gusta perseguir cacos
object_cinemascreen	Pantalla para proyector
buildtoolbar_popup_obj_cinemascreen	Un gran lienzo de color blanco sobre el que se muestran las películas. Si lo colocas frente a un proyector, podrás ponerles películas a tus reclusos.
object_cinemaprojector	Proyector
buildtoolbar_popup_obj_cinemaprojector	Las salas de cine necesitan un proyector. Debe encontrarse a 10 casillas de una pantalla para proyector para poder reproducir películas.
deploymentscheduler_slot_caption	Bloques temporales de despliegue
deploymentscheduler_description	Usa los bloques temporales de despliegue para crear rutinas para los distintos momentos del día. Antes de hacer cambios en el despliegue del personal, deberás mover la manecilla a la hora del régimen que desees. Después, selecciona uno de los bloques temporales para asignarle una rutina de despliegue específica a ese período. Si no lo haces, el despliegue se asignará a todas las horas de manera general.
codex_options_clocktype_jungle	Jungla (Analógico)
room_visitorreception	Recepción de visitantes
buildtoolbar_popup_room_visitorreception	Una zona en la que los visitantes serán recibidos y potencialmente registrados para asegurarnos de que no suponen un peligro para la prisión, ya sea por contrabando o por su estado de salud.
room_cinema	Cine
quickbuild_Cinema	Cine
buildtoolbar_popup_room_Cinema	Luces, cámara, ¡acción! Tus reclusos ahora pueden disfrutar de clásicos como "La gran inhalación", "La milla azul", "Hemos sido engañado" y muchos más.
object_BambooGuardTower	Torre de guardia (madera)
buildtoolbar_popup_obj_BambooGuardTower	Una torre desde la que los francotiradores (contratados por separado) pueden vigilar la prisión.\n\nAunque también se mojarán más.
material_WeatheredStoneFlooring	Piedra erosionada
buildtoolbar_popup_mat_WeatheredStoneFlooring	Un suelo de piedra erosionado, para darle a tu estancia ese aire de templo abandonado en la selva.
material_ColouredStoneTiles	Baldosas de piedra de colores
buildtoolbar_popup_mat_ColouredStoneTiles	Con tal nivel de técnica y detalles, nadie adivinaría jamás que realmente las ha hecho Clive, de Kent.
material_JunglePath	Camino selvático
buildtoolbar_popup_mat_JunglePath	Este camino viejo y desgastado es sorprendentemente cómodo para los pies.
material_ConcreteMossFlooring	Hormigón (musgo)
buildtoolbar_popup_mat_ConcreteMossFlooring	La naturaleza se ha apoderado de este suelo de hormigón.
material_ConcreteLeavesFlooring	Hormigón (hojas)
buildtoolbar_popup_mat_ConcreteLeavesFlooring	La naturaleza se ha apoderado de este suelo de hormigón.
material_RustyFenceConcrete	Valla oxidada (hormigón)
buildtoolbar_popup_mat_RustyFenceConcrete	Asegura distintas zonas de tu prisión con esta valla oxidada.
material_RustyFenceGrass	Valla oxidada (hierba)
buildtoolbar_popup_mat_RustyFenceGrass	Asegura distintas zonas de tu prisión con esta valla oxidada.
material_RustyFenceLongGrass	Valla oxidada (hierba alta)
buildtoolbar_popup_mat_RustyFenceLongGrass	Asegura distintas zonas de tu prisión con esta valla oxidada.
material_MurkyWater	Agua turbia
material_MurkyWaterLarge	Agua turbia (grande)
material_MurkyWaterShallow	Agua turbia (poco profunda)
object_CctvCamo	Cámara de seguridad (camuflaje)
buildtoolbar_popup_uts_CctvCamo	Echa un ojo a lo que pasa en prisión sin necesitar a tus guardias. Esta cámara viene en estampado de camuflaje. \n\nTienes que conectar un monitor a esta cámara de seguridad para que funcione.
object_JungleTable	Mesa de bambú
buildtoolbar_popup_obj_JungleTable	Para comer sobre ella. Hace juego con el banco de bambú.
object_JungleBench	Banco de bambú
buildtoolbar_popup_obj_JungleBench	Para sentarse. Hace juego con la mesa de bambú.
object_JungleServingTable	Mesa auxiliar de bambú
object_jaildoorrusty	Puerta de la cárcel (oxidada)
buildtoolbar_popup_obj_jaildoorrusty	Una puerta oxidada también servirá para que tus reclusos se queden donde deben estar, pero no quedará igual de chula.
object_jaildoorlargerusty	Gran puerta de la cárcel (oxidada)
buildtoolbar_popup_obj_jaildoorlargerusty	Una puerta grande y oxidada también servirá para que muchos de tus reclusos se queden donde deben estar, pero no quedará igual de chula.
codex_option_tropicalFever	Fiebre tropical
dlc_name_jungle	Jungle Pack
codex_tooltip_tropicalFever	Si bien el clima tropical no es para todo el mundo, tampoco es el único peligro que hay por aquí. Cualquier persona y objeto que entre nuevo en la prisión es sospechoso de portar esta enfermedad, así que mucho ojo con tus paquetes y visitantes.
warden_WardenKarrHide_name	Karr Hide
warden_WardenKarrHide_desc	Un hombre experimentado que ha pasado más tiempo en la selva que fuera de ella. Se describe a sí mismo como un cazador "legendario" y lo cierto es que sus habilidades están a la altura de dichas expectativas.\n\n-Amplía el alcance de los francotiradores \n-Mejora el efecto de "represión" de los francotiradores
warden_WardenKarrHide_desc_short	- Amplía el alcance de los francotiradores.\n- Mejora el efecto de "represión" de los francotiradores.
uniformPack_jungle	Uniformes selváticos
uniformPack_jungle_desc	Cambia los uniformes de tu personal y reclusos a un diseño más salvaje.
object_FirePit	Hoguera
buildtoolbar_popup_obj_FirePit	Estructura de piedra que produce luz sin necesidad de electricidad, además de mantener a los insectos lejos de tus prisioneros. Incluye la leña.
object_CampBed	Cama de campamento
buildtoolbar_popup_obj_CampBed	Es más cómoda de lo que parece (en serio).
object_NettedBed	Cama de campamento (de red)
buildtoolbar_popup_obj_NettedBed	Elemento esencial de todo clima tropical. Es moderadamente cómoda y repele a los insectos.
reformprogram_TropicalFeverTreatmentProgram	Vacuna contra la fiebre tropical
reformprogram_TropicalFeverTreatmentProgram_text	Un tratamiento continuado designado para combatir la notable fiebre tropical, común en ecosistemas selváticos y climas tropicales. Los reclusos obtendrán inmunidad a la enfermedad durante 21 días, después de los cuales deberán volver para mantenerse a salvo.
object_WoodDrain	Sumidero de madera
buildtoolbar_popup_obj_WoodDrain	Drena el agua del suelo.
job_CheckVisitorFever	Comprobar fiebre de visitantes
tropicalfever_contaminated	Fiebre tropical - Incubación
tropicalfever_ill	Fiebre tropical - Enfermo
tropicalfever_early	Fiebre tropical - Estado inicial
tropicalfever_mid	Fiebre tropical - Estado intermedio
tropicalfever_late	Fiebre tropical - Estado avanzado
tropicalfever_immune	Fiebre tropical - Inmunidad temporal
tropicalfever_Dead	Fiebre tropical
event_tropicalfever_onboarding_contaminatedobject	Hemos encontrado un objeto contaminado del que deberemos deshacernos tan pronto como podamos. Los objetos contaminados, como este, pueden contagiar a cualquier recluso ignorante de la situación que se acerque demasiado.
event_tropicalfever_onboarding_afflictedprisoner	Algunos de nuestros reclusos han contraído una peligrosa fiebre y debemos conseguirles los cuidados médicos que necesitan. Además, pondremos en marcha un plan de vacunación para proteger al resto de reclusos de cara al futuro.
action_WatchCinema	Viendo una película
buildtoolbar_Logistics_Jobs	La vista de trabajos de reclusos te muestra qué salas contienen reclusos con trabajo asignado y cuántos reclusos con trabajo hay en cada una.
buildtoolbar_Logistics_TargettingLaundry	La vista de distribución de lavandería te muestra qué bloques de celdas, dormitorios y recepciones están cubiertos por cada lavandería.
buildtoolbar_Logistics_TargettingFood	La vista de distribución de alimentos te muestra qué bloques de celdas cubre cada comedor y qué comedores suministra cada cocina. También puedes ver la oferta y demanda de las cocinas y los comedores actualmente activos (se empieza a cocinar 4 horas antes de cada régimen de comidas).
buildtoolbar_Logistics_RoomQuality	La vista de calidad de las salas te muestra la puntuación de calidad de las salas mejorables de tu prisión. Cuanto más alto sea el número, mejor será la calidad. Si desplazas el cursor sobre una sala, se mostrarán los factores que se han tenido en cuenta para determinar su calidad, así como lo que puedes hacer para aumentarla.
buildtoolbar_Logistics_CellStatus	La vista de estado de celda te muestra las celdas ocupadas (en naranja), de una pandilla (en rojo) y vacantes (en verde).
buildtoolbar_popup_help_LabourManagement_1	Este menú te proporciona el control sobre los presos que pueden trabajar aquí, los tiempos de trabajo y las opciones de despliegue rápido de guardias.
buildtoolbar_popup_help_CropDistribution_1	Controla a qué sala se mueven los cultivos cosechados. También puedes cambiar los porcentajes de distribución a través de la ventana Controlar la distribución.
buildtoolbar_popup_help_DeliveryTargeting_1	Conecta las zonas de entrega, basura y exportación a helipuertos, muelles y la carretera. Al hacerlo, podrás establecer dónde recibes entregas y desde dónde salen las exportaciones.
buildtoolbar_popup_help_VehiclePurpose_1	Controla qué servicios llegan a qué muelles, helipuertos o la carretera. Al hacerlo podrás organizar la llegada de recursos y reclusos a distintas zonas de la prisión por mar y aire.
material_MurkyWaterBed	Lecho de agua
mutator_name_SuperDogs	Superperros
mutator_tooltip_SuperDogs	El mejor amigo del hombre acaba de evolucionar. Son más grandes, fuertes y rápidos y necesitan menos siestas.
material_WallDeathRowSec	Pared (seg. corredor de la muerte)
material_WallSuperMaxSec	Pared (seg. súper-máxima)
buildtoolbar_popup_mat_WallDeathRowSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_WallSuperMaxSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
object_powercapacitorMaxPlus	Condensador máx plus
buildtoolbar_popup_uts_powercapacitorMaxPlus	El condensador máx plus es el doble de eficiente que su predecesor.
object_RemoteDoorMaroon	Puerta a control remoto (granate)
object_RemoteDoorBlack	Puerta a control remoto (negra)
uniformPack_desert	Uniformes desérticos
uniformpack_desert_desc	Cambia los uniformes de tu personal y reclusos a un diseño desértico.
buildtoolbar_popup_obj_dogcrate	Una caja cómoda en la que pueden dormir tus trabajadores más peludos.
buildtoolbar_popup_uts_phonebooth	Estas prácticas cabinas permitirán a los presos hablar con sus seres queridos cuando deseen.
buildtoolbar_popup_obj_LaundryMachine	Necesaria para la lavandería, donde se usa para lavar los uniformes mugrientos de los reclusos.
buildtoolbar_popup_obj_LaundryBasket	Los trabajadores y los conserjes de la prisión llevarán los uniformes sucios a la lavandería y los limpios al bloque de celdas.
buildtoolbar_popup_obj_IroningBoard	Necesaria para la lavandería, donde se usa para planchar los uniformes antes enviárselos a los reclusos.
buildtoolbar_popup_obj_VisitorTable	Una mesa a la que pueden sentarse los reclusos para ver a sus familias. También se utiliza para las audiencias de Libertad Condicional.
buildtoolbar_popup_uts_visitortablesecure	Evita que se trafique contrabando durante las visitas, pero es la mitad de efectiva que la mesa de visitantes para atender a la necesidad de familia. Las cabinas de visita solo pueden bloquear el contrabando si ambos lados están bloqueados por una pared u otra cabina de visita.
buildtoolbar_popup_obj_WorkshopSaw	Una herramienta del taller que utilizan los reclusos para convertir troncos en planchas de madera o chapa metálica en placas de matrícula.
buildtoolbar_popup_obj_WorkshopPress	Una herramienta del taller que utilizan los reclusos para añadir caracteres a las placas de matrícula.
buildtoolbar_popup_obj_CarpenterTable	Una herramienta del taller que utilizan los reclusos para convertir troncos en camas superiores.
buildtoolbar_popup_obj_GuardLocker	Un requisito para la armería. Cada guardia armado necesita su propia taquilla.
buildtoolbar_popup_obj_DrinkMachine	Requerido para toda sala de personal básica. También contiene ingredientes para el alcohol de los reclusos.
buildtoolbar_popup_obj_librarybookshelf	Una estantería grande para poner libros. Necesitarás unas cuantas en tu biblioteca.
