# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
interface_action_CleanGraffiti		Cleanup
job_cleanupobject					Cleanup *X
interfacetopbar_tension_angrygangmembersgraffiti		+ *X GANG MEMBERS ARE MAD (Graffiti cleaned)
interfacetopbar_tension_angrygangmembersleadercell		+ *X GANG MEMBERS ARE MAD (Leader transfered to lower quality cell)
research_CCTVImprovement			CCTV Improvement
researchtooltip_CCTVImprovement		Improve your utilisation of your CCTV equipment. Enables you to see CCTV vision cones and mark misbehaving prisoners in their field of view

d11_cctv_cone						CCTV Cone
d11_toggle_cctv_cone_detail			Toggle CCTV Camera's visual cones
d11_left_click_to_clean				Left Click to Clean

# ==============================================================
# Advisor messages
# ==============================================================

d11_gang_graffiti_message				Gangs are marking their territory making them fiercer when defending it. Send a Janitor when it's safe to deal with the mess. The gangs won't be happy about their "art" being removed - they may retaliate.
d11_gangBulkIntake_advisor_onboarding				The Prison Commision are transferring problematic prisoners to other jails with more competant management, I trust you'll be able to handle these new additions with ease. Prisoner Reviews are now being conducted on a weekly basis.
d11_gangBulkIntake_staffAlert						Gang Member Intake bus is arriving 
d11_gangdealer_advisor_onboarding		We've identified a Dealer in gang territory. A large sum of money was confiscated from them.

d11_CI_advisor_onboarding				Cooperate with your Confidential Informants to unearth any corrupted guards. They will be sent to the Chief’s office to share what information they have. Make sure to have CI's recruited, check the (?) icon on the Intelligence's Menu for more information.

d11_LeaderAssassination_advisor_onboarding	Gangs are getting too aggressive and are planning to assassinate the other Gang’s Leader. If they are successful, it will affect their current territories.
d11_GangTargetting_advisor_onboarding	Gang members band together because they have similar interests, sometimes they also dislike specific criminal offenses, and they will try to target these individuals.	

# ==============================================================
# Staff Alerts
# ==============================================================

d11_staffalert_title_making_move		Gang is making a move.
d11_staffalert_summary_making_move		We've got information that a Gang is making a move.
d11_staffalert_summary_gangdealer		A Dealer has been discovered you have been awarded $500

d11_staffalert_summary_TerritoryPlacement	This room has been claimed by a Gang, and is too dangerous for our workmen. Evict them from the room.	
# ==============================================================
# Gang Shakedown
# ==============================================================
crisisSector_CustomSearchArea					Custom Search Area
crisisSector_ScheduleSearch					Custom Schedule

schedulesearch_menu_TargettedArea				Targetted Area
schedulesearch_menu_StartTime					Start Time			
schedulesearch_menu_Frequency					Frequency
schedulesearch_menu_ExistingSchedule				Existing Schedule
schedulesearch_menu_CurrentTime					Current Time
schedulesearch_menu_CurrentFrequency				Current Frequency


crisisSector_UnlockedOnly					Unlocked Only
schedulesearch_menu_SaveSelection				Save Selection

# ==============================================================
# Reputations & traits
# ==============================================================
reputation_Recruiter					Recruiter
reputationtooltip_Recruiter				This prisoner if part of a Gang will be more likely to get other inmates to join his gang.
reputation_Resourceful					Resourceful
reputationtooltip_Resourceful			This prisoner will be more likely to spend time reading books, they will also know where contraband will be and might intercept it for their Gang.
reputation_ExGangMember					Ex Gang Member
reputationtooltip_ExGangMember			This prisoner decided Gang life wasn't for them, but the Gang is not happy about this.
reputation_CunninglyBrutal				Cunningly Brutal
reputationtooltip_CunninglyBrutal		The Vipers' will try to attack targets in security blind spots.
reputation_SneakThief					Sneak Thief
reputationtooltip_SneakThief			All Jackals' have the ability to pickpocket regardless of reputation.
reputation_BattleTendency				Battle Tendency
reputationtooltip_BattleTendency		If Jackals out number Guards in a wing of the prison they will be more violent towards staff in that wing.
reputation_DisrepectSurroundings		Vandal
reputationtooltip_DisrepectSurroundings	Bone Breakers will damage objects when some of their needs aren't being met.
reputation_UnderCoverDon				Under Cover Don
reputationtooltip_UnderCoverDon			The Vipers' leader will be hidden as a gang soldier, only being revealed when punished.
reputation_Enforcer						Enforcer
reputationtooltip_Enforcer				This prisoner will intimidate other inmates, unless they belong to the same Gang. They are also very good when taking over territories for Gangs.
reputation_GymRat						Gym Rat
reputationtooltip_GymRat				Bone Breakers will spend their Free Time periods in a Gym or Yard.
reputation_Loyal					Loyal
reputationtooltip_Loyal					This prisoner will be more likely to stay in the Gang and get riled up if their Gang Leader is being punished


traits_violent		Violent
traits_lethal		Lethal

# =============================================================================
# Expense popups
# =============================================================================
finance_cost_gangdealer					Disovered gang dealer

# ==============================================================
# Free Update - Kimber
# ==============================================================

 object_PrisonerLetter 					Prisoner Letter
 object_LoveLetter 						Love Letter
 object_LoveLetterOpened 				Love Letter (Opened)
 interface_prisonerWritingLetter		Writing to loved ones
 interface_prisonerWritingLoveLetter	Writing to a VERY special someone

warden_wardengangsjlocks_name		Captain J. Locks
warden_wardengangsjlocks_desc		Staff under Locks' command are able to push past their limits and prisoners are moulded into model inmates. \n\n- +30% staff stamina (Requires 10% more rest). \n- -10% to prisoner reoffend chance.
warden_wardengangsjlocks_desc_short            - Staff have more stamina.\n- Prisoners are 10% less likely to reoffend.

warden_wardengangscook_name		Dylan Cook
warden_wardengangscook_desc		This gentleman will smooth talk anyone, he will manage to get the best prices for your prison. You better believe he uses coupons at the supermarket! \n\n- Food costs lowered by 25%. \n- Programs that require external teachers cost 20% less.
warden_wardengangscook_desc_short            - Food costs lowered by 25%.\n- Programs that require external teachers cost 20% less.

# ==============================================================
# Manual Cell Swap
# ==============================================================
