# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
warden_WardenAlexisLin_desc	Glaubt daran, dass Technologie die Zukunft ist. Respektiert von Kollegen, von Häftlingen gefürchtet. \n\n- 60 % langsameres Abklingen der Unterdrückungsrate. \n-Aufseher erhöhen nicht die Wahrscheinlichkeit, dass Häftlinge in der Nähe Ärger verursachen. \n-Reduziert die Häufigkeit des Fehlverhaltens extrem launischer Gefangener um 50 %.
warden_WardenAlexisLin_desc_short	- Die Unterdrückungsrate klingt 60 % langsamer als üblich ab.\n- Aufseher erhöhen nicht die Wahrscheinlichkeit, dass Häftlinge in der Nähe Ärger verursachen.\n- Reduziert die Häufigkeit des Fehlverhaltens extrem launischer Gefangener um 50 %.
prisonerTracking_Title	Überwachungsmenü
interfacecontraband_PrisonerTracking	Überwachungsmenü
buildtoolbar_contraband_PrisonerTracking	Ermöglicht Ihnen die Überwachung von Häftlingen, um ihr Wohlergehen zu sichern und Fehlverhalten vorzubeugen. Klicken Sie auf Hilfe für weitere Informationen
prisonerTracking_TrackedPrisoners	Überwachte Häftlinge
prisonerTracking_SubstanceAbuse	Drogenmissbrauch
prisonerTracking_Virus	Viren/Krankheiten
trackingmenu_ViewRange	Reichweite umschalten
interface_action_refuseBeltAccess	Gürtelzugriff widerrufen
prisonerTracking_PrisonersLists	Alle Häftlinge\nWenn Sie die Häftlingsgruppe ändern, wird das die Liste der Häftlinge weiter verfeinern.\n\nFluchtrisiko\nDiese Häftlinge denken an Flucht oder planen bereits eine.\n\nFehlverhalten\nAlle Häftlinge, die in den letzten 48 Stunden ein Fehlverhalten begangen haben.\n\nDrogenmissbrauch\nHäftlinge, die Drogenabhängig sind und riskieren, an einer Überdosis zu sterben.\n\nViren/Krankheiten\nHäftlinge mit einen negativen Gesundheitszustand, die eine Gefahr für sich selbst und andere darstellen könnten.
d11_trackingMenu_locked	Um verwendet werden zu können, benötigt das Menü: \n - Einen Arzt \n - Einen Gesundheitsmonitor \n - Eine Medizinbox \n - Einen Überwachungsmonitor und Router
buildtoolbar_popup_help_PrisonerTracking_1	Das Überwachungsmenü listet alle Häftlinge im Gefängnis auf. Um es nutzen zu können, benötigen Sie einen Arzt, eine Krankenstation mit einem Gesundheitsmonitor und einer Medizinbox sowie einen Sicherheitsraum mit einem Überwachungsmonitor und Router.\n
buildtoolbar_popup_help_PrisonerTracking_2	Diese Listen können angepasst werden, je nachdem, auf welche Information Sie schnell zugreifen möchten. Sortierung nach Alle, Fluchtrisiko, Fehlverhalten, Drogenmissbrauch und Virus/Andere Krankheiten.\n\n
buildtoolbar_popup_help_PrisonerTracking_3	~Wählen Sie Häftlinge aus, den Sie überwachen möchten, und lassen Sie sich benachrichtigen, wenn sie sich in Bereich begeben, die sie nicht betreten dürfen, bzw. gefährdet sind. Eine Markierung über ihren Köpfen hilft, ihren Standort zu bestimmen.\n\n
buildtoolbar_popup_help_PrisonerTracking_5	- Stellen Sie sicher, dass Ihr Gefängnis sicher ist. Die Beseitigung und Kontrolle von Quellen für Schmuggelware verringert die Gefahr von Flucht oder Verletzung von anderen Häftlingen und Personal.\n
buildtoolbar_popup_help_PrisonerTracking_6	- Etablieren sie Programme und stellen sie eine ausreichenden Anzahl von Ärzten an, um drogenabhängige Gefangene zu schützen.\n\n
prisonerTracking_confirm_equip	Häftling auf Krankenstation schicken, um Peilsender-Gürtel anzulegen?
prisonerTracking_confirm_unequip	Häftling auf Krankenstation schicken, um Peilsender-Gürtel abzunehmen?
codex_options_clocktype_undead	Untote (Analog)
codex_options_clocktype_future	Zukunft (Analog)
graph_axis_TotalEscapedUndead	Geflohene Untote gesamt
equipment_stunbaton	Betäubungsstab
finance_cost_stunbaton	Ausstattung: Betäubungsstab
d11_stun_baton_caption	Betäubungsstäbe ausrüsten
d11_stun_baton_tooltip	Mit dieser Option können Sie Ihre Wachen mit Betäubungsstäben ausrüsten, die zusätzliche Möglichkeiten bieren, um widerspenstige Gefangene zu bändigen. Diese Option erfordert eine Waffenkammer und kostet außerdem $*X pro Wache. Neben den normalen Wachen wird auch die Bereitschaftspolizei mit den neuen Schlagstöcken ausgestattet, ohne dass sich die Kosten ihrer Dienste erhöhen.
dlc_name_futureTech	Future Tech Pack
roomgrading_Cell_HasGlassWalls	[*E] Von Glaswänden umgeben
roomgrading_Dormitory_HasGlassWalls	[*E] Von Glaswänden umgeben
roomgrading_Canteen_HasGlassWalls	[*E] Von Glaswänden umgeben
roomgrading_Gymnasium_HasGlassWalls	[*E] Von Glaswänden umgeben
roomgrading_CommonRoom_HasGlassWalls	[*E] Von Glaswänden umgeben
roomgrading_Classroom_HasGlassWalls	[*E] Von Glaswänden umgeben
trackingMenu_unequipPrisoner	Häftling abrüsten
d11_staffalert_title_ArmouryPlaced	Betäubungsstäbe
d11_staffalert_summary_ArmouryPlaced	Wenn Sie der Meinung sind, dass Ihre Wachen ein wenig mehr Schockkraft benötigen, können Sie eine Gefängnisregel aktivieren, um sie mit Betäubungsstäben auszustatten.
objective_Grant_TrackerPilot	Überwachungs-Pilotprogramm
objective_Grant_TrackerPilot_description	Ein großes Technologieunternehmen testet ein neues Gerät für das "Wohlbefinden" von Häftlingen. Es bietet allen Gefängnissen einen Zuschuss an, die bereit sind, das Gerät einem Belastungstest zu unterziehen und die gesammelten Daten weiterzugeben.
objective_Grant_Tracker_Infirmary	Bauen Sie eine Krankenstation
objective_Grant_Tracker_Doctor	Stellen Sie einen Arzt ein
objective_Grant_Tracker_MedicalBox	Stellen Sie eine Medizinbox in der Krankenstation ausf
objective_Grant_Tracker_HealthMonitor	Stellen Sie einen Gesundheitsmonitor in der Krankenstation auf
objective_Grant_Tracker_Router	Stellen Sie Router auf, um die Reichweite der Überwachung zu erhöhen
objective_Grant_Tracker_TrackingMonitor	Installieren und verbinden Sie einen Überwachungsmonitor im Sicherheitsraum
objective_Grant_Tracker_TrackingBelt	Weisen Sie 3 Häftlingen Peilsender-Gürtel über Informationen > Überwachungsmenü zu
objective_Grant_Tracker_SecurityRoom	Bauen Sie einen Sicherheitsraum
buildtoolbar_popup_mat_MurkyWater	Kreieren Sie Bäche, Flüsse und andere unpassierbare Wasserflächen.
buildtoolbar_popup_mat_MurkyWaterLarge	Erstellen Sie große Wasserflächen, Seen und Ozeane.
buildtoolbar_popup_mat_MurkyWaterShallow	Erstellen Sie flachere Wasserstellen, um schönere Küstenlinien mit abgestuften Sand- und Wasserbereichen zu erschaffen. Diese Kacheln können im Gegensatz zu den normalen Wasserkacheln betreten werden.
buildtoolbar_popup_obj_JungleServingTable	Verteilen Sie Essen an Ihre Häftlinge.
buildtoolbar_popup_obj_bookshelf	"Verbessert den Komfort einer Zelle und hilft Ihren Häftlingen dabei, ihr Bedürfnis nach "Unterhaltung" zu stillen."
object_KayuMalamTree	Kayu-Malam-Baum
buildtoolbar_popup_obj_KayuMalamTree	Ein mächtiger Baum mit wunderschönem dunklen Holz. Nicht für den Bettenbau geeignet.
object_EbonyLog	Ebenholzbalken
object_EbonyWood	Ebenholz
object_TreeVines	Baum (Ranken)
buildtoolbar_popup_obj_TreeVines	Diese Baumart ist ein Muss für jedes Tropengefängnis.
object_KayuMalamTree	Kayu-Malam-Baum
buildtoolbar_popup_obj_KayuMalamTree	Ein mächtiger Baum mit wunderschönem dunklen Holz. Nicht für den Bettenbau geeignet.
object_EbonyLog	Ebenholzbalken
object_EbonyWood	Ebenholz
object_TreeVines	Baum (Ranken)
buildtoolbar_popup_obj_TreeVines	Diese Baumart ist ein Muss für jedes Tropengefängnis.
object_Toby	Toby
buildtoolbar_popup_obj_Toby	Gauner zu fangen, ist für unseren Strahlemann die reinste Freude.
object_cinemascreen	Leinwand
buildtoolbar_popup_obj_cinemascreen	Eine große weiße Leinwand, auf der Filme gezeigt werden. Kombinieren Sie sie mit einem Projektor, um Ihren Häftlingen Filme vorzuführen.
object_cinemaprojector	Projektor
buildtoolbar_popup_obj_cinemaprojector	Jeder Kinoraum benötigt einen Projektor. Muss sich in einem Umkreis von 10 Kacheln um eine Leinwand befinden, damit Filme abgespielt werden können.
deploymentscheduler_slot_caption	Einsatzzeitblöcke
deploymentscheduler_description	Erstellen Sie mithilfe von Zeitblöcken Einsatzroutinen für verschiedene Stunden des Tages. Bevor Sie Änderungen an den Einsatzroutinen Ihrer Mitarbeiter vornehmen, müssen Sie den Zeitpfeil auf die gewünschte Stunde verschieben. Anschließend können Sie einen der Zeitblöcke auswählen, um eine bestimmte Einsatzroutine für diese Zeit zuzuweisen, andernfalls wird dieser Einsatz allen Zeiten zugewiesen.
codex_options_clocktype_jungle	Dschungel (Analog)
room_visitorreception	Besucherempfang
buildtoolbar_popup_room_visitorreception	Ein Bereich, in dem sich Besucher anmelden und durchsucht werden können, um keine Gefahr für das Gefängnis in Form von Schmuggelware oder Krankheiten darzustellen.
room_cinema	Kino
quickbuild_Cinema	Kino
buildtoolbar_popup_room_Cinema	Licht, Kamera, Action! Ihre Häftlinge können jetzt solche Klassiker genießen wie „Angelegte Ketten“, „Die blaue Meile“, „Immer wieder mittwochs“, und viele mehr.
object_BambooGuardTower	Wachturm (Holz)
buildtoolbar_popup_obj_BambooGuardTower	Ein Turm, von dem aus Ihre (gesondert eingestellten) Scharfschützen das Gefängnis überwachen können.\n\nSie werden hier nur etwas nasser als sonst.
material_WeatheredStoneFlooring	Verwitterter Stein
buildtoolbar_popup_mat_WeatheredStoneFlooring	Ein Bodenbelag aus verwittertem Stein, der Ihr Dschungelgefängnis noch authentischer aussehen lässt.
material_ColouredStoneTiles	Farbige Steinkacheln
buildtoolbar_popup_mat_ColouredStoneTiles	Beim Anblick dieser filigranen Arbeit wird niemand auch nur ahnen, dass sie erst vor kurzem von Udo aus Bochum kreiert wurde.
material_JunglePath	Dschungelpfad
buildtoolbar_popup_mat_JunglePath	Dieser ausgetretene alte Pfad ist überraschend bequem für die Füße.
material_ConcreteMossFlooring	Beton (Moos)
buildtoolbar_popup_mat_ConcreteMossFlooring	Die Natur hat diesen Betonboden erobert.
material_ConcreteLeavesFlooring	Beton (Blätter)
buildtoolbar_popup_mat_ConcreteLeavesFlooring	Die Natur hat diesen Betonboden erobert.
material_RustyFenceConcrete	Rostiger Zaun (Beton)
buildtoolbar_popup_mat_RustyFenceConcrete	Rostiger Zaun zum Umzäunen von Sektoren und Bereichen.
material_RustyFenceGrass	Rostiger Zaun (Gras)
buildtoolbar_popup_mat_RustyFenceGrass	Rostiger Zaun zum Umzäunen von Sektoren und Bereichen.
material_RustyFenceLongGrass	Rostiger Zaun (Hohes Gras)
buildtoolbar_popup_mat_RustyFenceLongGrass	Rostiger Zaun zum Umzäunen von Sektoren und Bereichen.
material_MurkyWater	Trübes Wasser
material_MurkyWaterLarge	Trübes Wasser (Groß)
material_MurkyWaterShallow	Trübes Wasser (Flach)
object_CctvCamo	Überwachungskameras (Getarnt)
buildtoolbar_popup_uts_CctvCamo	Behalten Sie Ihr Gefängnis im Auge, ohne überall Wachen postieren zu müssen. Modell mit Tarnanstrich. \n\nDamit diese Kamera funktioniert, muss sie an einen Überwachungsmonitor angeschlossen werden.
object_JungleTable	Bambustisch
buildtoolbar_popup_obj_JungleTable	Hier wird aufgetischt. Passt hervorragend zur Bambusbank.
object_JungleBench	Bambusbank
buildtoolbar_popup_obj_JungleBench	Praktisches Sitzmöbel. Passt hervorragend zum Bambustisch.
object_JungleServingTable	Bambus-Serviertisch
object_jaildoorrusty	Gefängnistür (Rostig)
buildtoolbar_popup_obj_jaildoorrusty	Diese große, verrostete Gefängnistür sieht zwar nicht so gut aus, hält aber Ihre Häftlinge dort, wo sie hingehören (die meisten jedenfalls).
object_jaildoorlargerusty	Große Gefängnistür (Rostig)
buildtoolbar_popup_obj_jaildoorlargerusty	Diese große, verrostete Gefängnistür sieht zwar nicht so gut aus, hält aber Ihre Häftlinge dort, wo sie hingehören (die meisten jedenfalls).
codex_option_tropicalFever	Tropenfieber
dlc_name_jungle	Jungle Pack
codex_tooltip_tropicalFever	Tropisches Klima ist nicht jedermanns Sache, aber auch nicht die größte Gefahr. Da alles und jeder, der neu ins Gefängnis kommt, diese Krankheit verbreiten kann, sollten Sie Ihre Lieferungen und Besucher im Auge behalten.
warden_WardenKarrHide_name	Karr Hide
warden_WardenKarrHide_desc	Ein erfahrener Mann, der mehr Zeit im Dschungel verbracht hat als außerhalb. Er bezeichnet sich selbst als Großwildjäger und hat das Zeug dazu, diesem Anspruch auch gerecht zu werden.\n\n- Verbessert die Reichweite von Scharfschützen \n- Verbessert den Unterdrückungseffekt von Scharfschützen
warden_WardenKarrHide_desc_short	- Verbessert die Reichweite von Scharfschützen.\n- Verbessert den Unterdrückungseffekt von Scharfschützen
uniformPack_jungle	Dschungeluniformen
uniformPack_jungle_desc	Ändern Sie die Uniformen von Personal und Häftlingen zu einem wilderen Design.
object_FirePit	Feuerstelle
buildtoolbar_popup_obj_FirePit	Eine Steinkonstruktion, die ohne Strom Licht erzeugt und Ungeziefer von den Häftlingen fernhält. Holzbrennstoff inbegriffen.
object_CampBed	Feldbett
buildtoolbar_popup_obj_CampBed	Ist bequemer als es aussieht (ehrlich).
object_NettedBed	Feldbett (Netz)
buildtoolbar_popup_obj_NettedBed	Ein Muss in jedem tropischen Klima. Bietet etwas Komfort und hält die Mücken fern.
reformprogram_TropicalFeverTreatmentProgram	Impfung gegen Tropenfieber
reformprogram_TropicalFeverTreatmentProgram_text	Behandlungsprogramm zur Bekämpfung des berüchtigten Tropenfiebers, das im Dschungel und in tropischen Klimazonen häufig vorkommt. Häftlinge werden 21 Tage lang gegen die Krankheit immun und müssen nach Ablauf dieses Zeitraums wiederkommen, um weiterhin sicher zu sein.
object_WoodDrain	Holzabfluss
buildtoolbar_popup_obj_WoodDrain	Entfernt Wasser vom Boden.
job_CheckVisitorFever	Fieber von Besucher messen
tropicalfever_contaminated	Tropenfieber – Verseucht
tropicalfever_ill	Tropenfieber – Krank
tropicalfever_early	Tropenfieber – Frühes Stadium
tropicalfever_mid	Tropenfieber – Mittleres Stadium
tropicalfever_late	Tropenfieber – Spätes Stadium
tropicalfever_immune	Tropenfieber – Vorübergehende Immunität
tropicalfever_Dead	Tropenfieber
event_tropicalfever_onboarding_contaminatedobject	Wir haben einen verseuchten Gegenstand gefunden, der so schnell wie möglich entfernt werden muss. Jeder verseuchte Gegenstand kann einen ahnungslosen Häftling, der ihm zu nahe kommt, anstecken.
event_tropicalfever_onboarding_afflictedprisoner	Einige Häftlinge sind an einem gefährlichen Fieber erkrankt, und wir müssen sie medizinisch versorgen. Wir haben ein Impfprogramm aufgelegt, um sie in Zukunft besser zu schützen.
action_WatchCinema	Einen Film schauen
buildtoolbar_Logistics_Jobs	Die Anzeige „Gefängnisarbeit“ zeigt Ihnen, für welche Räume Häftlinge zur Arbeit eingeteilt werden können und wie viele Häftlinge derzeit dort eingeteilt sind.
buildtoolbar_Logistics_TargettingLaundry	Die Ansicht „Wäscheverteilung“ zeigt Ihnen, welche Zellenblöcke, Schlafsäle und Aufnahmeräume von welchen Wäschereien versorgt werden.
buildtoolbar_Logistics_TargettingFood	Die Ansicht „Nahrungsverteilung“ zeigt Ihnen, welche Zellenblöcke von welchen Kantinen versorgt werden und welche Küchen welche Kantinen versorgen. Sie sehen auch das aktuelle Angebot und die aktuelle Nachfrage der derzeit aktiven Küchen und Kantinen (das Kochen beginnt 4 Stunden vor der nächsten Essenszeit).
buildtoolbar_Logistics_RoomQuality	Die Ansicht „Raumqualität“ zeigt Ihnen die Qualitätsbeurteilung aller erweiterbarer Räume in Ihrem Gefängnis. Je höher der Wert, desto besser die Qualität. Wenn Sie mit dem Mauszeiger über einen Raum fahren, sehen Sie die Faktoren, die seine Qualität bestimmen, und was Sie tun können, um diese zu verbessern.
buildtoolbar_Logistics_CellStatus	Der Zellenstatus zeigt an, ob Zellen besetzt (orange), Bande (rot) oder frei (grün) sind.
buildtoolbar_popup_help_LabourManagement_1	Dieses Menü ermöglicht Ihnen die Kontrolle über die hier arbeitenden Häftlinge und deren Arbeitszeiten, zusammen mit Optionen zum Schnelleinsatz von Wachen.
buildtoolbar_popup_help_CropDistribution_1	Bestimmen Sie, in welche Räume geerntete Nutzpflanzen gebracht werden und ändern Sie bei Bedarf die prozentualen Anteile der Verteilung im Menüfenster Verteilung steuern.
buildtoolbar_popup_help_DeliveryTargeting_1	Verknüpfen Sie Einlieferungs-, Müll- und Auslieferungszonen mit Landeplätzen, Anlegern und Straßen. Damit werden Sie kontrollieren können, wo Einlieferungen angenommen werden und wie Auslieferungen Ihr Gefängnis verlassen.
buildtoolbar_popup_help_VehiclePurpose_1	Bestimmen Sie, welche Dienste durch Anleger, Landeplätze oder die Straße abgewickelt werden. Damit werden Sie bestimmte Güter oder Häftlinge an festgelegten Orten in der Umgebung des Gefängnisses über den Seeweg oder aus der Luft empfangen können.

material_MurkyWaterBed	Wasserbett
mutator_name_SuperDogs	Superhunde
mutator_tooltip_SuperDogs	Die besten Freunde des Menschen auf 180. Sie sind größer, stärker, schneller und müssen weniger schlafen.
material_WallDeathRowSec	Wand (Todestrakt)
material_WallSuperMaxSec	Wand (Hohe Sicherheitsstufe)
buildtoolbar_popup_mat_WallDeathRowSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
buildtoolbar_popup_mat_WallSuperMaxSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
object_powercapacitorMaxPlus	Kondensator Max Plus
buildtoolbar_popup_uts_powercapacitorMaxPlus	Der Max Plus Kondensator ist doppelt so effizient wie sein Vorgänger.
object_RemoteDoorMaroon	Ferngesteuerte Tür (Kastanienbraun)
object_RemoteDoorBlack	Ferngesteuerte Tür (Schwarz)
uniformPack_desert	Wüstenuniformen
uniformpack_desert_desc	Ändern Sie die Uniformen von Häftlingen und Wachen zu einem Wüstendesign.
buildtoolbar_popup_obj_dogcrate	Eine gemütliche Kiste für Ihre arbeitsamen Hunde.
buildtoolbar_popup_uts_phonebooth	Wenn Häftlinge mit ihrer Familie telefonieren möchten, können sie das von diesen praktischen Telefonzellen aus tun.
buildtoolbar_popup_obj_LaundryMachine	Wird für den Betrieb der Wäscherei benötigt, um die schmutzige Häftlingskleidung zu waschen.
